name,brand,collection,price_category,gender,movement,case_material,case_material_category,water_resistance,water_resistance_category,brand_country,brand_age,collection_price_tier,warrenty,power_reserve,dial,bracelet,PRODUCT_PRICE_DETAIL,reference,brand_founded_year,is_price_outlier,collection_popularity,water_resistance_standardized,price_category_improved,case_diameter_numeric,case_size_category,brand_prestige_level
Big Bang 20th Anniversary All Black,Hublot,Big Bang,Ultra-Luxury,Erkek,Otomatik,Seramik,Ceramic,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,72 Saat,Siyah,Kauasuk,1.190.800₺,431.CI.1340.RX,1980,FALSE,43,Snorkeling (100m),Ultra Laks,43,Bayak (40-44mm),Atok Prestijli
Classic Fusion Chronograph Titanium Blue,Hublot,Classic Fusion,Ultra-Luxury,Erkek,Otomatik,Titanyum,Titanium,50m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,42 Saat,Mavi,Kauasuk,530.400₺,541.NX.7170.RX,1980,FALSE,45,Yazme (50m),Laks,42,Bayak (40-44mm),Atok Prestijli
Speedmaster ’57 Co-Axial Master,Omega,Speedmaster,Luxury,Erkek,Elle Kurmala,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,176,Ultra-Luxury Collection,5 Yıl,60 Saat,Karmaza,Paslanmaz Atelik,483.100₺,332.10.41.51.11.001,1848,FALSE,25,Yazme (50m),Laks,41,Bayak (40-44mm),Atok Prestijli
Superocean Super Diver,Breitling,Superocean,Luxury,Erkek,Otomatik,Titanyum,Titanium,1000m,Professional Diving,Switzerland,140,Premium Collection,2 Yıl,42 Saat,Atok Renkli,Kauasuk,309.400₺,E10379351B1S1,1884,FALSE,15,Professyonel Dalaay (300m+),Premium,46,Atok Bayak (>44mm),Prestijli
Luminor Tre Giorni,Panerai,Luminor,Ultra-Luxury,Erkek,Elle Kurmala,Paslanmaz Atelik,Steel,100m,Water Resistant,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Gri,Deri,512.100₺,PAM01628,1860,FALSE,37,Snorkeling (100m),Laks,47,Atok Bayak (>44mm),Atok Prestijli
Lovely Square,Tissot,T-Lady Collection,Budget,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,171,Entry Collection,2 Yıl,,Pembe,Paslanmaz Atelik,22.490₺,T058.109.33.456.00,1853,FALSE,23,Ganlak Kullanam (30m),Ekonomik,20,Kaaak (<36mm),Giriş Seviyesi
P-Series GMT,Sevenfriday,P-Series,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Unknown,,Entry Collection,2 Yıl,42 Saat,Siyah,Deri,119.600₺,SF-PG1/01,,FALSE,23,Yazme (50m),Orta Segment,44.5,Atok Bayak (>44mm),Giriş Seviyesi
Supersport Chrono,Tissot,T-Sport Collection,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Siyah,Deri,23.990₺,T125.617.17.051.02,1853,FALSE,97,Snorkeling (100m),Ekonomik,45.5,Atok Bayak (>44mm),Giriş Seviyesi
Master Collection,Longines,Watchmaking Tradition,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Gamaay,Krokodil,120.000₺,L2.793.4.79.2,1832,FALSE,54,Ganlak Kullanam (30m),Orta Segment,40,Orta (36-40mm),Orta Prestij
Lovely Round,Tissot,T-Lady Collection,Budget,Women,Pilli,Atelik Altn,Gold,30m,Splash Resistant,Switzerland,171,Entry Collection,2 Yıl,,Sedef,Paslanmaz Atelik,22.190₺,T058.009.33.111.00,1853,FALSE,23,Ganlak Kullanam (30m),Ekonomik,19.5,Kaaak (<36mm),Giriş Seviyesi
Superocean Heritage B01 Chronograph,Breitling,Superocean Heritage,Ultra-Luxury,Erkek,Otomatik,Atelik Altn,Gold,200m,Swimming,Switzerland,140,Luxury Collection,5 Yıl,70 Saat,Siyah,Kauasuk,507.000₺,UB0156H11B1S1,1884,FALSE,29,Dalaay (200m),Laks,42,Bayak (40-44mm),Prestijli
Urban BR-05 Black Steel,Bell & Ross,Urban,Mid-Range,Unisex,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Luxury Collection,2 Yıl,54 Saat,Siyah,Paslanmaz Atelik,219.200₺,BR05A-S-BL-ST/SST,,FALSE,19,Snorkeling (100m),Premium,36,Orta (36-40mm),Prestijli
Classic Fusion Chronograph Black Magic,Hublot,Classic Fusion,Ultra-Luxury,Erkek,Otomatik,Seramik,Ceramic,50m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,48 Saat,Siyah,Kauasuk,582.400₺,541.CM.1171.RX,1980,FALSE,45,Yazme (50m),Laks,42,Bayak (40-44mm),Atok Prestijli
Aquaracer Professional 300 Date,Tag Heuer,Aquaracer,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Unknown,,Premium Collection,2 Yıl,38 Saat,Yeayil,Paslanmaz Atelik,210.600₺,WBP231L.BA0618,,FALSE,50,Professyonel Dalaay (300m+),Premium,36,Orta (36-40mm),Prestijli
HydroConquest,Longines,Diving,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Gri,Çelik Altan,106.000₺,L3.782.3.78.7,1832,FALSE,49,Professyonel Dalaay (300m+),Orta Segment,43,Bayak (40-44mm),Orta Prestij
Supersport Chrono,Tissot,T-Sport Collection,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Siyah,Deri,23.090₺,T125.617.16.051.00,1853,FALSE,97,Snorkeling (100m),Ekonomik,45.5,Atok Bayak (>44mm),Giriş Seviyesi
PRX,Tissot,T-Classic Collection,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Mavi,Paslanmaz Atelik,20.090₺,T137.410.11.041.00,1853,FALSE,160,Snorkeling (100m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Spirit Of Big Bang Chronograph,Hublot,Big Bang,Ultra-Luxury,Erkek,Otomatik,Altan,Gold,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,50 Saat,Askelet,Kauasuk,2.126.800₺,642.OX.0180.RX,1980,TRUE,43,Snorkeling (100m),Ultra Laks,42,Bayak (40-44mm),Atok Prestijli
Classic Fusion,Hublot,Classic Fusion,Mid-Range,Women,Pilli,Titanyum,Titanium,50m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,,Siyah,Kauasuk,291.200₺,581.NX.1470.RX,1980,FALSE,45,Yazme (50m),Premium,33,Kaaak (<36mm),Atok Prestijli
Aquaracer Professional 200 Solargraph,Tag Heuer,Aquaracer,Mid-Range,Women,Pilli,Paslanmaz Atelik,Steel,200m,Swimming,Unknown,,Premium Collection,2 Yıl,,Mavi,Paslanmaz Atelik,221.000₺,WBP1323.BB0004,,FALSE,50,Dalaay (200m),Premium,34,Kaaak (<36mm),Prestijli
Constellation,Omega,Constellation,Mid-Range,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,176,Luxury Collection,5 Yıl,,Beyaz,Paslanmaz Atelik,296.800₺,131.20.28.60.05.002,1848,FALSE,42,Ganlak Kullanam (30m),Premium,28,Kaaak (<36mm),Atok Prestijli
Big Crown Pointer Date Calibre 403,Oris,Big Crown,Mid-Range,Unisex,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Unknown,,Premium Collection,2 Yıl,120 Saat,Mavi,Paslanmaz Atelik,228.800₺,01 403 7776 4065-07 8 19 06,,FALSE,19,Yazme (50m),Premium,38,Orta (36-40mm),Orta Prestij
Submersible QuarantaQuattro Luna Rossa Ti-Ceramitech™,Panerai,Submersible,Ultra-Luxury,Erkek,Otomatik,Seramik,Ceramic,500m,Diving,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Mavi,Kauasuk,808.800₺,PAM01466,1860,FALSE,21,Professyonel Dalaay (300m+),Ultra Laks,44,Bayak (40-44mm),Atok Prestijli
Avigation BigEye,Longines,Avigation,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,66 Saat,Siyah,Deri,156.000₺,L2.816.4.53.2,1832,FALSE,36,Ganlak Kullanam (30m),Orta Segment,41,Bayak (40-44mm),Orta Prestij
Seastar 1000,Tissot,T-Sport Collection,Budget,Erkek,Pilli,Atelik Altn,Gold,300m,Diving,Switzerland,171,Entry Collection,2 Yıl,,Siyah,Paslanmaz Atelik,26.090₺,T120.410.22.051.00,1853,FALSE,97,Professyonel Dalaay (300m+),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
HyperChrome,Rado,HyperChrome,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,150m,Swimming,Unknown,,Entry Collection,5 Yıl,,Kahverengi,Kauasuk,78.100₺,R32281309,,FALSE,9,Yazme (50m),Ekonomik,41.5,Bayak (40-44mm),Orta Prestij
Endurance Pro,Breitling,Professional,Mid-Range,Unisex,Pilli,Karbon,Carbon,100m,Water Resistant,Switzerland,140,Premium Collection,2 Yıl,,Siyah,Kauasuk,166.400₺,X83310A71B1S1,1884,FALSE,15,Snorkeling (100m),Orta Segment,38,Orta (36-40mm),Prestijli
Master Collection,Longines,Watchmaking Tradition,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,66 Saat,Gamaay,Krokodil,197.000₺,L2.773.4.78.3,1832,FALSE,54,Ganlak Kullanam (30m),Premium,42,Bayak (40-44mm),Orta Prestij
Conquest,Longines,Performance,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Mavi,Paslanmaz Atelik,109.000₺,L3.830.4.92.6,1832,FALSE,57,Snorkeling (100m),Orta Segment,41,Bayak (40-44mm),Orta Prestij
P-Series,Sevenfriday,P-Series,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Unknown,,Entry Collection,5 Yıl,41 Saat,Kahverengi,Deri,97.200₺,SF-PE2/01,,FALSE,23,Yazme (50m),Orta Segment,44.5,Atok Bayak (>44mm),Giriş Seviyesi
Captain Cook,Rado,Captain Cook,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,200m,Swimming,Unknown,,Premium Collection,5 Yıl,80 Saat,Yeayil,Paslanmaz Atelik,129.200₺,R32505318,,FALSE,23,Dalaay (200m),Orta Segment,42,Bayak (40-44mm),Orta Prestij
Monaco Chronograph Stopwatch,Tag Heuer,Monaco,Luxury,Erkek,Otomatik,Titanyum,Titanium,100m,Water Resistant,Unknown,,Ultra-Luxury Collection,2 Yıl,40 Saat,Siyah,Deri,499.200₺,CAW218F.FC6356,,FALSE,7,Snorkeling (100m),Laks,39,Orta (36-40mm),Prestijli
Conquest,Longines,Performance,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Azampanya,Paslanmaz Atelik,109.000₺,L3.720.4.62.6,1832,FALSE,57,Snorkeling (100m),Orta Segment,38,Orta (36-40mm),Orta Prestij
Laureato Absolute Aston Martin F1® Edition,Girard-Perregaux,Laureato,Ultra-Luxury,Erkek,Otomatik,Titanyum,Titanium,300m,Diving,Switzerland,233,Ultra-Luxury Collection,2 Yıl,46 Saat,Yeayil,Kauasuk,800.800₺,81070-21-3405-1CX,1791,FALSE,17,Professyonel Dalaay (300m+),Ultra Laks,44,Bayak (40-44mm),Ultra Prestijli
Seamaster Railmaster,Omega,Seamaster,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,150m,Swimming,Switzerland,176,Ultra-Luxury Collection,5 Yıl,55 Saat,Kahverengi,Deri,291.000₺,235.12.38.20.13.001,1848,FALSE,59,Yazme (50m),Premium,38,Orta (36-40mm),Atok Prestijli
Big Bang,Hublot,Big Bang,Ultra-Luxury,Women,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,,Beyaz,Kauasuk,535.600₺,361.SE.2010.RW.1104,1980,FALSE,43,Snorkeling (100m),Laks,38,Orta (36-40mm),Atok Prestijli
HyperChrome,Rado,HyperChrome,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,150m,Swimming,Unknown,,Entry Collection,5 Yıl,,Siyah,Paslanmaz Atelik,81.100₺,R32280153,,FALSE,9,Yazme (50m),Ekonomik,41.5,Bayak (40-44mm),Orta Prestij
Superocean,Breitling,Superocean,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,140,Premium Collection,2 Yıl,38 Saat,Mavi,Kauasuk,254.800₺,A17376211L2S1,1884,FALSE,15,Professyonel Dalaay (300m+),Premium,44,Bayak (40-44mm),Prestijli
Avenger,Breitling,Navitimer,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,140,Luxury Collection,2 Yıl,42 Saat,Siyah,Tekstil,265.200₺,A32320101B1X1,1884,FALSE,22,Professyonel Dalaay (300m+),Premium,44,Bayak (40-44mm),Prestijli
Seamaster Diver 300M,Omega,Seamaster,Ultra-Luxury,Erkek,Otomatik,Altan,Gold,300m,Diving,Switzerland,176,Ultra-Luxury Collection,3 Yıl,55 Saat,Siyah,Altan,1.425.900₺,210.90.42.20.01.003,1848,FALSE,59,Professyonel Dalaay (300m+),Ultra Laks,42,Bayak (40-44mm),Atok Prestijli
Conquest,Longines,Performance,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,192,Premium Collection,2 Yıl,,Mavi,Paslanmaz Atelik,45.000₺,L3.759.4.96.6,1832,FALSE,57,Professyonel Dalaay (300m+),Ekonomik,41,Bayak (40-44mm),Orta Prestij
Big Crown Pointer Date,Oris,Big Crown,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Unknown,,Premium Collection,2 Yıl,41 Saat,Sara,Paslanmaz Atelik,119.600₺,01 754 7798 4069-07 8 20 06,,FALSE,19,Yazme (50m),Orta Segment,40,Orta (36-40mm),Orta Prestij
Big Bang Integrated,Hublot,Big Bang,Ultra-Luxury,Erkek,Otomatik,Titanyum,Titanium,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,48 Saat,Siyah,Titanyum,618.800₺,457.NX.1270.NX,1980,FALSE,43,Snorkeling (100m),Laks,38,Orta (36-40mm),Atok Prestijli
Heritage Lindbergh Hour Angle,Longines,Avigation,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,46 Saat,Beyaz,Krokodil,283.000₺,L2.678.4.11.0,1832,FALSE,36,Ganlak Kullanam (30m),Premium,47.5,Atok Bayak (>44mm),Orta Prestij
Carson Premium Automatic Lady,Tissot,T-Classic Collection,Budget,Women,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,38 Saat,Gamaay,Paslanmaz Atelik,44.370₺,T122.207.11.036.00,1853,FALSE,160,Yazme (50m),Ekonomik,30,Kaaak (<36mm),Giriş Seviyesi
Classic Gold,Chopard,Classic,Ultra-Luxury,Women,Pilli,Altan,Gold,30m,Splash Resistant,Switzerland,164,Ultra-Luxury Collection,2 Yıl,,Sedef,Krokodil,982.800₺,129365-5001,1860,FALSE,3,Ganlak Kullanam (30m),Ultra Laks,30,Kaaak (<36mm),Atok Prestijli
Clifton Moon Phase Date,Baume & Mercier,Clifton,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,120 Saat,Mavi,Krokodil,197.900₺,10593,1830,FALSE,16,Yazme (50m),Premium,42,Bayak (40-44mm),Orta Prestij
Divers Sixty Five Chronograph,Oris,Divers,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Premium Collection,2 Yıl,62 Saat,Gri,Paslanmaz Atelik,252.200₺,01 771 7791 4051-07 8 20 18,,FALSE,13,Snorkeling (100m),Premium,40,Orta (36-40mm),Orta Prestij
Seastar 1000 Chronograph,Tissot,T-Sport Collection,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,171,Entry Collection,2 Yıl,,Mavi,Kauasuk,29.680₺,T120.417.17.041.00,1853,FALSE,97,Professyonel Dalaay (300m+),Ekonomik,46,Atok Bayak (>44mm),Giriş Seviyesi
Primaluna Moonphase,Longines,Elegance,Mid-Range,Women,Otomatik,Atelik Altn,Gold,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Gamaay,Atelik Altn,294.000₺,L8.126.5.71.7,1832,FALSE,69,Ganlak Kullanam (30m),Premium,34,Kaaak (<36mm),Orta Prestij
Anatom,Rado,Anatom,Mid-Range,Unisex,Otomatik,Seramik,Ceramic,50m,Water Resistant,Unknown,,Premium Collection,5 Yıl,72 Saat,Yeayil,Kauasuk,180.300₺,R10202319,,FALSE,5,Yazme (50m),Premium,32.5,Kaaak (<36mm),Orta Prestij
Blast,Ulysse Nardin,Diayer Koleksiyonlar,Ultra-Luxury,Erkek,Elle Kurmala,Pembe Altan,Gold,50m,Water Resistant,Switzerland,178,Ultra-Luxury Collection,5 Yıl,96 Saat,Askelet,Krokodil,2.527.200₺,3716-260B/02,1846,TRUE,2,Yazme (50m),Ultra Laks,42,Bayak (40-44mm),Ultra Prestijli
Aquis Date Relief,Oris,Aquis,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Unknown,,Premium Collection,2 Yıl,41 Saat,Gri,Paslanmaz Atelik,137.800₺,01 733 7789 4153-07 8 23 04PEB,,FALSE,36,Professyonel Dalaay (300m+),Orta Segment,43.5,Bayak (40-44mm),Orta Prestij
Aquis Date Taste of Summer,Oris,Aquis,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Unknown,,Premium Collection,2 Yıl,41 Saat,Mor,Paslanmaz Atelik,143.000₺,01 733 7789 4158-07 8 23 04PEB,,FALSE,36,Professyonel Dalaay (300m+),Orta Segment,43.5,Bayak (40-44mm),Orta Prestij
Seamaster 300,Omega,Seamaster,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,176,Ultra-Luxury Collection,5 Yıl,60 Saat,Mavi,Paslanmaz Atelik,378.300₺,234.30.41.21.03.002,1848,FALSE,59,Professyonel Dalaay (300m+),Premium,41,Bayak (40-44mm),Atok Prestijli
PR 100,Tissot,T-Classic Collection,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Yeayil,Paslanmaz Atelik,15.890₺,T150.410.11.091.00,1853,FALSE,160,Snorkeling (100m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Superocean Heritage B31,Breitling,Superocean Heritage,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,200m,Swimming,Switzerland,140,Luxury Collection,5 Yıl,78 Saat,Siyah,Paslanmaz Atelik,317.200₺,AB3112241B1A1,1884,FALSE,29,Dalaay (200m),Premium,44,Bayak (40-44mm),Prestijli
PRC 100 Solar,Tissot,T-Sport Collection,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,3 Yıl,,Mavi,Paslanmaz Atelik,25.190₺,T151.422.11.041.00,1853,FALSE,97,Snorkeling (100m),Ekonomik,39,Orta (36-40mm),Giriş Seviyesi
Conquest,Longines,Performance,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Mavi,Kauasuk,103.000₺,L3.830.4.92.9,1832,FALSE,57,Snorkeling (100m),Orta Segment,41,Bayak (40-44mm),Orta Prestij
Captain Cook,Rado,Captain Cook,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Unknown,,Premium Collection,5 Yıl,80 Saat,Mavi,Paslanmaz Atelik,123.200₺,R32223213,,FALSE,23,Professyonel Dalaay (300m+),Orta Segment,39,Orta (36-40mm),Orta Prestij
Luminor Due Luna Rossa,Panerai,Luminor Due,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Beyaz,Kauasuk,378.100₺,PAM01673,1860,FALSE,17,Ganlak Kullanam (30m),Premium,42,Bayak (40-44mm),Atok Prestijli
ProPilot X Kermit Edition,Oris,ProPilot X,Mid-Range,Erkek,Otomatik,Titanyum,Titanium,100m,Water Resistant,Unknown,,Premium Collection,2 Yıl,120 Saat,Yeayil,Titanyum,262.600₺,01 400 7778 7157-Set,,FALSE,4,Snorkeling (100m),Premium,39,Orta (36-40mm),Orta Prestij
Big Bang,Hublot,Big Bang,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,42 Saat,Mavi,Kauasuk,639.600₺,301.SX.710.RX,1980,FALSE,43,Snorkeling (100m),Laks,44,Bayak (40-44mm),Atok Prestijli
Speedmaster Moonphase,Omega,Speedmaster,Ultra-Luxury,Erkek,Otomatik,Atelik Altn,Gold,100m,Water Resistant,Switzerland,176,Ultra-Luxury Collection,5 Yıl,60 Saat,Gri,Krokodil,797.300₺,304.23.44.52.06.001,1848,FALSE,25,Snorkeling (100m),Ultra Laks,44,Bayak (40-44mm),Atok Prestijli
Big Crown Diamonds,Oris,Big Crown,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Unknown,,Premium Collection,2 Yıl,42 Saat,Siyah,Paslanmaz Atelik,169.000₺,01 531 7797 4094-07 8 17 06,,FALSE,19,Yazme (50m),Orta Segment,34,Kaaak (<36mm),Orta Prestij
Spirit of Big Bang Steel Diamonds,Hublot,Big Bang,Ultra-Luxury,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,40 Saat,Siyah,Kauasuk,774.800₺,682.SX.1170.RX.1204,1980,FALSE,43,Snorkeling (100m),Laks,32,Kaaak (<36mm),Atok Prestijli
Carrera Date,Tag Heuer,Carrera,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Unknown,,Luxury Collection,2 Yıl,50 Saat,Mor,Paslanmaz Atelik,226.200₺,WBN2319.BA0001,,FALSE,35,Yazme (50m),Premium,36,Orta (36-40mm),Prestijli
P-Series GMT,Sevenfriday,P-Series,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Unknown,,Entry Collection,2 Yıl,42 Saat,Siyah,Paslanmaz Atelik,124.800₺,SF-PG1/01M,,FALSE,23,Yazme (50m),Orta Segment,44.5,Atok Bayak (>44mm),Giriş Seviyesi
Classic Fusion Titanium Blue,Hublot,Classic Fusion,Luxury,Unisex,Otomatik,Titanyum,Titanium,50m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,42 Saat,Mavi,Krokodil,379.600₺,565.NX.7170.LR,1980,FALSE,45,Yazme (50m),Premium,38,Orta (36-40mm),Atok Prestijli
Top Time B31,Breitling,Top Time,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,140,Luxury Collection,2 Yıl,78 Saat,Mavi,Paslanmaz Atelik,291.200₺,AB3113A71C1A1,1884,FALSE,10,Snorkeling (100m),Premium,38,Orta (36-40mm),Prestijli
Riviera,Baume & Mercier,Riviera,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,48 Saat,Siyah,Paslanmaz Atelik,154.400₺,10825,1830,FALSE,45,Snorkeling (100m),Orta Segment,41,Bayak (40-44mm),Orta Prestij
Aquaracer Professional 200 Solargraph,Tag Heuer,Aquaracer,Mid-Range,Women,Pilli,Paslanmaz Atelik,Steel,200m,Swimming,Unknown,,Premium Collection,2 Yıl,,Siyah,Paslanmaz Atelik,221.000₺,WBP1324.BB0005,,FALSE,50,Dalaay (200m),Premium,34,Kaaak (<36mm),Prestijli
Carrera Date Twin-Time,Tag Heuer,Carrera,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Luxury Collection,2 Yıl,80 Saat,Yeayil,Paslanmaz Atelik,247.000₺,WDA2114.BA0043,,FALSE,35,Snorkeling (100m),Premium,41,Bayak (40-44mm),Prestijli
Conquest,Longines,Performance,Mid-Range,Unisex,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Yeayil,Kauasuk,103.000₺,L3.720.4.02.9,1832,FALSE,57,Snorkeling (100m),Orta Segment,38,Orta (36-40mm),Orta Prestij
HydroConquest,Longines,Diving,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,192,Premium Collection,2 Yıl,,Mavi,Paslanmaz Atelik,61.000₺,L3.840.4.96.6,1832,FALSE,49,Professyonel Dalaay (300m+),Ekonomik,44,Bayak (40-44mm),Orta Prestij
Pioneer Tourbillon,H. Moser & Cie.,Pioneer,Ultra-Luxury,Erkek,Otomatik,Pembe Altan,Gold,120m,Swimming,Unknown,,Ultra-Luxury Collection,2 Yıl,72 Saat,Bordo,Kauasuk,3.239.600₺,3805-0400,,TRUE,7,Daiyer,Ultra Laks,40,Orta (36-40mm),Ultra Prestijli
Centrix Chronograph,Rado,Centrix,Mid-Range,Erkek,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Unknown,,Premium Collection,5 Yıl,,Azampanya,Paslanmaz Atelik,129.200₺,R30212402,,FALSE,22,Yazme (50m),Orta Segment,41,Bayak (40-44mm),Orta Prestij
Conquest,Longines,Performance,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Yeayil,Kauasuk,103.000₺,L3.830.4.02.9,1832,FALSE,57,Snorkeling (100m),Orta Segment,41,Bayak (40-44mm),Orta Prestij
Seastar 1000,Tissot,T-Sport Collection,Budget,Women,Pilli,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,171,Entry Collection,2 Yıl,,Sedef,Kauasuk,26.390₺,T120.210.17.116.00,1853,FALSE,97,Professyonel Dalaay (300m+),Ekonomik,36,Orta (36-40mm),Giriş Seviyesi
Big Crown Pointer Date,Oris,Big Crown,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Unknown,,Premium Collection,2 Yıl,41 Saat,Mor,Paslanmaz Atelik,119.600₺,01 754 7798 4068-07 8 20 06,,FALSE,19,Yazme (50m),Orta Segment,40,Orta (36-40mm),Orta Prestij
Superocean Heritage B31,Breitling,Superocean Heritage,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,200m,Swimming,Switzerland,140,Luxury Collection,5 Yıl,78 Saat,Siyah,Paslanmaz Atelik,317.200₺,AB3110241B1A1,1884,FALSE,29,Dalaay (200m),Premium,40,Orta (36-40mm),Prestijli
