name,brand,collection,price,price_category,gender,movement,case material,case_material_category,water_resistance,water_resistance_category,brand_country,brand_age,collection_price_tier,warrenty,power_reserve,dial,bracelet,PRODUCT_NAME_DETAIL,PRODUCT_PRICE_DETAIL,reference,brand_founded_year,brand_avg_price,brand_median_price,brand_price_std,brand_product_count,price_vs_brand_avg,price_percentile,price_zscore,is_price_outlier,collection_popularity,water_resistance_standardized,price_category_improved,case_diameter_numeric,case_size_category,brand_prestige_level
Superocean Heritage B31,Breitling,Superocean Heritage,317200,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,200m,Swimming,Switzerland,140,Luxury Collection,5 Yıl,78 Saat,Yeayil,Paslanmaz Atelik,Superocean Heritage B31,317.200₺,AB3111361L1A1,1884,344131.2,317200,114878.734,125,-0.07825852,0.6733533,-0.059429903,FALSE,29,Dalaay (200m),Premium,42,Bayak (40-44mm),Prestijli
Navitimer GMT,Breitling,Navitimer,293800,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,140,Luxury Collection,2 Yıl,42 Saat,Mavi,Krokodil,Navitimer GMT,293.800₺,A32310171C1P1,1884,344131.2,317200,114878.734,125,-0.14625585,0.6505988,-0.10177527,FALSE,22,Ganlak Kullanam (30m),Premium,41,Bayak (40-44mm),Prestijli
Streamliner Tourbillon Skeleton,H. Moser & Cie.,Streamliner,4.264e+06,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,120m,Swimming,Unknown,,Ultra-Luxury Collection,2 Yıl,72 Saat,Askelet,Paslanmaz Atelik,Streamliner Tourbillon Skeleton,4.264.000₺,6814-1200,,2.2611332e+06,1.456e+06,1.553869e+06,24,0.88578,0.9964072,7.0828223,TRUE,10,Daiyer,Ultra Laks,40,Orta (36-40mm),Ultra Prestijli
Centrix Chronograph,Rado,Centrix,129200,Mid-Range,Erkek,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Unknown,,Premium Collection,5 Yıl,,Siyah,Paslanmaz Atelik,Centrix Chronograph,129.200₺,R30211152,,133908.42,126200,57445.586,95,-0.0351615,0.36407185,-0.39964056,FALSE,22,Yazme (50m),Orta Segment,41,Bayak (40-44mm),Orta Prestij
Carrera Date,Tag Heuer,Carrera,226200,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Unknown,,Luxury Collection,2 Yıl,50 Saat,Yeayil,Paslanmaz Atelik,Carrera Date,226.200₺,WBN2317.BA0001,,219025.56,179400,138288.27,133,0.032756157,0.5712575,-0.22410634,FALSE,35,Yazme (50m),Premium,36,Orta (36-40mm),Prestijli
Carson Premium Automatic Lady,Tissot,T-Classic Collection,47970,Budget,Women,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,38 Saat,Gamaay,Paslanmaz Atelik,Carson Premium Automatic Lady,47.970₺,T122.207.22.036.00,1853,30113.854,26090,13456.789,288,0.5929545,0.16317365,-0.5466369,FALSE,160,Yazme (50m),Ekonomik,30,Kaaak (<36mm),Giriş Seviyesi
Seamaster Aqua Terra 150M,Omega,Seamaster,320100,Luxury,Women,Otomatik,Paslanmaz Atelik,Steel,150m,Swimming,Switzerland,176,Ultra-Luxury Collection,5 Yıl,48 Saat,Siyah,Paslanmaz Atelik,Seamaster Aqua Terra 150M,320.100₺,220.10.30.20.01.001,1848,513525.72,401600,458838.5,140,-0.37666216,0.6769461,-0.05418197,FALSE,59,Yazme (50m),Premium,30,Kaaak (<36mm),Atok Prestijli
Octo Finissimo,Bvlgari,Octo,618000,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Italy,140,Ultra-Luxury Collection,5 Yıl,60 Saat,Somon,Paslanmaz Atelik,Octo Finissimo,618.000₺,103856,1884,514079.38,416000,402732.22,63,0.202149,0.8652695,0.48490715,FALSE,16,Snorkeling (100m),Laks,40,Orta (36-40mm),Atok Prestijli
Square Bang Unico Titanium,Hublot,Square Bang,1.1388e+06,Ultra-Luxury,Erkek,Otomatik,Titanyum,Titanium,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,72 Saat,Askelet,Kauasuk,Square Bang Unico Titanium,1.138.800₺,821.NX.0170.RX,1980,842739.1,681200,419912.2,92,0.35130784,0.94251496,1.427363,FALSE,4,Snorkeling (100m),Ultra Laks,42,Bayak (40-44mm),Atok Prestijli
La Grande Classique,Longines,Elegance,98000,Budget,Women,Pilli,Atelik Altn,Gold,30m,Splash Resistant,Switzerland,192,Premium Collection,2 Yıl,,Sedef,Atelik Altn,La Grande Classique,98.000₺,L4.512.2.87.7,1832,134676.78,131000,52081.965,267,-0.27233186,0.2709581,-0.45610106,FALSE,69,Ganlak Kullanam (30m),Orta Segment,29,Kaaak (<36mm),Orta Prestij
Conquest,Longines,Performance,109000,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Pembe,Paslanmaz Atelik,Conquest,109.000₺,L3.430.4.99.6,1832,134676.78,131000,52081.965,267,-0.19065483,0.3002994,-0.4361951,FALSE,57,Snorkeling (100m),Orta Segment,34,Kaaak (<36mm),Orta Prestij
Superocean Heritage B31,Breitling,Superocean Heritage,301600,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,200m,Swimming,Switzerland,140,Luxury Collection,5 Yıl,78 Saat,Siyah,Kauasuk,Superocean Heritage B31,301.600₺,AB3111241B1S1,1884,344131.2,317200,114878.734,125,-0.123590074,0.657485,-0.08766015,FALSE,29,Dalaay (200m),Premium,42,Bayak (40-44mm),Prestijli
Conquest Classic,Longines,Performance,86000,Budget,Women,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,192,Premium Collection,2 Yıl,,Sedef,Paslanmaz Atelik,Conquest Classic,86.000₺,L2.286.3.87.7,1832,134676.78,131000,52081.965,267,-0.3614341,0.24101797,-0.4778166,FALSE,57,Yazme (50m),Ekonomik,30,Kaaak (<36mm),Orta Prestij
Big Crown Pointer Date,Oris,Big Crown,228800,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Unknown,,Premium Collection,2 Yıl,120 Saat,Yeayil,Paslanmaz Atelik,Big Crown Pointer Date,228.800₺,01 403 7799 4067-07 8 20 06,,177222.78,143000,68706.82,79,0.29103038,0.57724553,-0.2194013,FALSE,19,Yazme (50m),Premium,40,Orta (36-40mm),Orta Prestij
PrimaLuna,Longines,Elegance,84000,Budget,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,2 Yıl,,Yeayil,Paslanmaz Atelik,PrimaLuna,84.000₺,L8.115.4.67.6,1832,134676.78,131000,52081.965,267,-0.37628445,0.23562874,-0.4814359,FALSE,69,Ganlak Kullanam (30m),Ekonomik,31,Kaaak (<36mm),Orta Prestij
PRX Powermatic 80,Tissot,T-Classic Collection,37780,Budget,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,80 Saat,Mavi,Paslanmaz Atelik,PRX Powermatic 80,37.780₺,T137.207.11.351.00,1853,30113.854,26090,13456.789,288,0.25457206,0.12604791,-0.56507707,FALSE,160,Snorkeling (100m),Ekonomik,35,Kaaak (<36mm),Giriş Seviyesi
Carrera Chronograph,Tag Heuer,Carrera,348400,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Luxury Collection,2 Yıl,80 Saat,Siyah,Paslanmaz Atelik,Carrera Chronograph,348.400₺,CBN2A1B.BA0643,,219025.56,179400,138288.27,133,0.5906819,0.70628744,-0.00296941,FALSE,35,Snorkeling (100m),Premium,44,Bayak (40-44mm),Prestijli
Captain Cook,Rado,Captain Cook,312500,Luxury,Erkek,Otomatik,Seramik,Ceramic,300m,Diving,Unknown,,Premium Collection,5 Yıl,80 Saat,Yeayil,Seramik,Captain Cook,312.500₺,R32189313,,133908.42,126200,57445.586,95,1.3336844,0.6688623,-0.06793517,FALSE,23,Professyonel Dalaay (300m+),Premium,43,Bayak (40-44mm),Orta Prestij
Seamaster Aqua Terra,Omega,Seamaster,494700,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,150m,Swimming,Switzerland,176,Ultra-Luxury Collection,5 Yıl,60 Saat,Mavi,Kauasuk,Seamaster Aqua Terra,494.700₺,220.12.43.22.03.001,1848,513525.72,401600,458838.5,140,-0.03665973,0.81257486,0.26177964,FALSE,59,Yazme (50m),Laks,43,Bayak (40-44mm),Atok Prestijli
PRX,Tissot,T-Classic Collection,20090,Budget,Unisex,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Karmaza,Paslanmaz Atelik,PRX,20.090₺,T137.210.11.421.00,1853,30113.854,26090,13456.789,288,-0.3328652,0.04251497,-0.5970894,FALSE,160,Snorkeling (100m),Ekonomik,35,Kaaak (<36mm),Giriş Seviyesi
Conquest Classic,Longines,Performance,53000,Budget,Women,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,192,Premium Collection,2 Yıl,,Gamaay,Paslanmaz Atelik,Conquest Classic,53.000₺,L2.386.4.72.6,1832,134676.78,131000,52081.965,267,-0.6064652,0.17245509,-0.5375345,FALSE,57,Yazme (50m),Ekonomik,34,Kaaak (<36mm),Orta Prestij
HydroConquest,Longines,Diving,95000,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Gri,Paslanmaz Atelik,HydroConquest,95.000₺,L3.781.4.76.6,1832,134676.78,131000,52081.965,267,-0.29460743,0.26077846,-0.46152994,FALSE,49,Professyonel Dalaay (300m+),Orta Segment,41,Bayak (40-44mm),Orta Prestij
Chemin Des Tourelles Powermatic 80,Tissot,T-Classic Collection,44370,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,80 Saat,Mavi,Paslanmaz Atelik,Chemin Des Tourelles Powermatic 80,44.370₺,T139.407.11.048.00,1853,30113.854,26090,13456.789,288,0.47340822,0.15329342,-0.55315155,FALSE,160,Yazme (50m),Ekonomik,42,Bayak (40-44mm),Giriş Seviyesi
Flamingo,Tissot,T-Lady Collection,18890,Budget,Women,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Sedef,Paslanmaz Atelik,Flamingo,18.890₺,T094.210.11.111.00,1853,30113.854,26090,13456.789,288,-0.37271398,0.031137725,-0.599261,FALSE,23,Yazme (50m),Ekonomik,30,Kaaak (<36mm),Giriş Seviyesi
Big Crown Pointer Date 80th Anniversary Edition,Oris,Big Crown,137800,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Unknown,,Premium Collection,2 Yıl,38 Saat,Yeayil,Deri,Big Crown Pointer Date 80th Anniversary Edition,137.800₺,01 754 7741 3167-07 5 20 58BR,,177222.78,143000,68706.82,79,-0.2224476,0.4020958,-0.38407773,FALSE,19,Yazme (50m),Orta Segment,40,Orta (36-40mm),Orta Prestij
PRX Powermatic 80,Tissot,T-Classic Collection,37780,Budget,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,80 Saat,Mavi,Paslanmaz Atelik,PRX Powermatic 80,37.780₺,T137.207.11.041.00,1853,30113.854,26090,13456.789,288,0.25457206,0.12604791,-0.56507707,FALSE,160,Snorkeling (100m),Ekonomik,35,Kaaak (<36mm),Giriş Seviyesi
Spirit of Big Bang White Ceramic,Hublot,Big Bang,1.2948e+06,Ultra-Luxury,Erkek,Otomatik,Seramik,Ceramic,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,50 Saat,Askelet,Kauasuk,Spirit of Big Bang White Ceramic,1.294.800₺,642.HX.0170.RX,1980,842739.1,681200,419912.2,92,0.5364185,0.9571856,1.7096655,FALSE,43,Snorkeling (100m),Ultra Laks,42,Bayak (40-44mm),Atok Prestijli
Luminor Due,Panerai,Luminor Due,335000,Luxury,Unisex,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Antrasit,Krokodil,Luminor Due,335.000₺,PAM01552,1860,649664.06,473800,466149.7,89,-0.48434886,0.68772453,-0.027218467,FALSE,17,Yazme (50m),Premium,38,Orta (36-40mm),Atok Prestijli
Submersible QuarantaQuattro,Panerai,Submersible,483400,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Siyah,Kauasuk,Submersible QuarantaQuattro,483.400₺,PAM01596,1860,649664.06,473800,466149.7,89,-0.25592312,0.80449104,0.2413308,FALSE,21,Professyonel Dalaay (300m+),Laks,44,Bayak (40-44mm),Atok Prestijli
Conquest,Longines,Performance,48000,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,192,Premium Collection,2 Yıl,,Siyah,Paslanmaz Atelik,Conquest,48.000₺,L3.760.4.56.6,1832,134676.78,131000,52081.965,267,-0.6435911,0.16467066,-0.5465826,FALSE,57,Professyonel Dalaay (300m+),Ekonomik,43,Bayak (40-44mm),Orta Prestij
Big Crown Pointer Date,Oris,Big Crown,117000,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Unknown,,Premium Collection,2 Yıl,41 Saat,Mavi,Deri,Big Crown Pointer Date,117.000₺,01 754 7785 4065-07 6 20 10,,177222.78,143000,68706.82,79,-0.339814,0.3275449,-0.42171806,FALSE,19,Yazme (50m),Orta Segment,40,Orta (36-40mm),Orta Prestij
Speedmaster Moonwatch Professional,Omega,Speedmaster,925400,Ultra-Luxury,Erkek,Elle Kurmala,Atelik Altn,Gold,50m,Water Resistant,Switzerland,176,Ultra-Luxury Collection,5 Yıl,50 Saat,Pembe,Atelik Altn,Speedmaster Moonwatch Professional,925.400₺,310.20.42.50.99.001,1848,513525.72,401600,458838.5,140,0.8020519,0.9236527,1.0411878,FALSE,25,Yazme (50m),Ultra Laks,42,Bayak (40-44mm),Atok Prestijli
True Square,Rado,True Square,162200,Mid-Range,Unisex,Otomatik,Seramik,Ceramic,50m,Water Resistant,Unknown,,Premium Collection,5 Yıl,80 Saat,Askelet,Seramik,True Square,162.200₺,R27197152,,133908.42,126200,57445.586,95,0.21127558,0.46976048,-0.33992273,FALSE,9,Yazme (50m),Orta Segment,38,Orta (36-40mm),Orta Prestij
Bvlgari Bvlgari,Bvlgari,Bvlgari Bvlgari,231000,Mid-Range,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Italy,140,Luxury Collection,5 Yıl,,Gri,Paslanmaz Atelik,Bvlgari Bvlgari,231.000₺,103689,1884,514079.38,416000,402732.22,63,-0.55065304,0.5793413,-0.21542011,FALSE,14,Ganlak Kullanam (30m),Premium,33,Kaaak (<36mm),Atok Prestijli
Anatom,Rado,Anatom,180300,Mid-Range,Unisex,Otomatik,Seramik,Ceramic,50m,Water Resistant,Unknown,,Premium Collection,5 Yıl,72 Saat,Sara,Kauasuk,Anatom,180.300₺,R10201259,,133908.42,126200,57445.586,95,0.34644258,0.5140719,-0.3071684,FALSE,5,Yazme (50m),Premium,32.5,Kaaak (<36mm),Orta Prestij
Speedmaster Moonphase,Omega,Speedmaster,570400,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,176,Ultra-Luxury Collection,5 Yıl,60 Saat,Siyah,Krokodil,Speedmaster Moonphase,570.400₺,304.33.44.52.01.001,1848,513525.72,401600,458838.5,140,0.11075256,0.84970057,0.3987687,FALSE,25,Snorkeling (100m),Laks,44,Bayak (40-44mm),Atok Prestijli
Seamaster Planet Ocean,Omega,Seamaster,756600,Ultra-Luxury,Erkek,Otomatik,Seramik,Ceramic,600m,Professional Diving,Switzerland,176,Ultra-Luxury Collection,5 Yıl,60 Saat,Siyah,Kauasuk,Seamaster Planet Ocean,756.600₺,215.92.46.22.01.006,1848,513525.72,401600,458838.5,140,0.47334394,0.898503,0.735722,FALSE,59,Daiyer,Laks,45.5,Atok Bayak (>44mm),Atok Prestijli
Clifton Moon Phase Date,Baume & Mercier,Clifton,182200,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,120 Saat,Gri,Krokodil,Clifton Moon Phase Date,182.200₺,10758,1830,126401.04,120200,54582.965,96,0.44144383,0.51586825,-0.3037301,FALSE,16,Yazme (50m),Premium,39,Orta (36-40mm),Orta Prestij
Riviera,Baume & Mercier,Riviera,69200,Budget,Women,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,,Pembe,Paslanmaz Atelik,Riviera,69.200₺,10812,1830,126401.04,120200,54582.965,96,-0.45253617,0.19371258,-0.5082184,FALSE,45,Yazme (50m),Ekonomik,33,Kaaak (<36mm),Orta Prestij
Professional Aerospace Evo,Breitling,Professional,218400,Mid-Range,Erkek,Pilli,Titanyum,Titanium,100m,Water Resistant,Switzerland,140,Premium Collection,2 Yıl,,Siyah,Titanyum,Professional Aerospace Evo,218.400₺,E79363101B1E1,1884,344131.2,317200,114878.734,125,-0.36535832,0.56287426,-0.23822147,FALSE,15,Snorkeling (100m),Premium,43,Bayak (40-44mm),Prestijli
PRX,Tissot,T-Classic Collection,20090,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Karmaza,Paslanmaz Atelik,PRX,20.090₺,T137.410.11.421.00,1853,30113.854,26090,13456.789,288,-0.3328652,0.04251497,-0.5970894,FALSE,160,Snorkeling (100m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
Chrono XL,Tissot,T-Sport Collection,20390,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Siyah,Dana Derisi,Chrono XL,20.390₺,T116.617.36.052.03,1853,30113.854,26090,13456.789,288,-0.322903,0.04700599,-0.59654653,FALSE,97,Snorkeling (100m),Ekonomik,45,Atok Bayak (>44mm),Giriş Seviyesi
Superocean,Breitling,Superocean,252200,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,140,Premium Collection,2 Yıl,38 Saat,Siyah,Kauasuk,Superocean,252.200₺,A17375211B2S3,1884,344131.2,317200,114878.734,125,-0.26713997,0.605988,-0.17705593,FALSE,15,Professyonel Dalaay (300m+),Premium,42,Bayak (40-44mm),Prestijli
Master Collection,Longines,Watchmaking Tradition,125000,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Gamaay,Paslanmaz Atelik,Master Collection,125.000₺,L2.893.4.79.6,1832,134676.78,131000,52081.965,267,-0.07185187,0.35628742,-0.40724102,FALSE,54,Ganlak Kullanam (30m),Orta Segment,42,Bayak (40-44mm),Orta Prestij
Seamaster Planet Ocean,Omega,Seamaster,756600,Ultra-Luxury,Erkek,Otomatik,Seramik,Ceramic,600m,Professional Diving,Switzerland,176,Ultra-Luxury Collection,5 Yıl,60 Saat,Siyah,Kauasuk,Seamaster Planet Ocean,756.600₺,215.92.46.22.01.007,1848,513525.72,401600,458838.5,140,0.47334394,0.898503,0.735722,FALSE,59,Daiyer,Laks,45.5,Atok Bayak (>44mm),Atok Prestijli
Square Bang Unico Titanium Blue Ceramic,Hublot,Square Bang,1.1908e+06,Ultra-Luxury,Erkek,Otomatik,Titanyum,Titanium,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,72 Saat,Askelet,Kauasuk,Square Bang Unico Titanium Blue Ceramic,1.190.800₺,821.NL.5170.RX,1980,842739.1,681200,419912.2,92,0.4130114,0.94790417,1.5214639,FALSE,4,Snorkeling (100m),Ultra Laks,42,Bayak (40-44mm),Atok Prestijli
Riviera,Baume & Mercier,Riviera,69200,Budget,Women,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,,Mavi,Paslanmaz Atelik,Riviera,69.200₺,10811,1830,126401.04,120200,54582.965,96,-0.45253617,0.19371258,-0.5082184,FALSE,45,Yazme (50m),Ekonomik,33,Kaaak (<36mm),Orta Prestij
Conquest,Longines,Performance,48000,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,192,Premium Collection,2 Yıl,,Mavi,Paslanmaz Atelik,Conquest,48.000₺,L3.760.4.96.6,1832,134676.78,131000,52081.965,267,-0.6435911,0.16467066,-0.5465826,FALSE,57,Professyonel Dalaay (300m+),Ekonomik,43,Bayak (40-44mm),Orta Prestij
Conquest Heritage,Longines,Watchmaking Tradition,153000,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Yeayil,Krokodil,Conquest Heritage,153.000₺,L1.650.4.02.2,1832,134676.78,131000,52081.965,267,0.13605331,0.43772456,-0.35657135,FALSE,54,Yazme (50m),Orta Segment,40,Orta (36-40mm),Orta Prestij
DiaStar Original,Rado,DiaStar Original,78100,Budget,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Premium Collection,5 Yıl,48 Saat,Pembe,Paslanmaz Atelik,DiaStar Original,78.100₺,R12170333,,133908.42,126200,57445.586,95,-0.41676557,0.2266467,-0.49211273,FALSE,3,Snorkeling (100m),Ekonomik,30,Kaaak (<36mm),Orta Prestij
P-Series,Sevenfriday,P-Series,78000,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Unknown,,Entry Collection,2 Yıl,40 Saat,Gamaay,Deri,P-Series,78.000₺,SF-P1B/01,,93480.95,87900,16714.975,42,-0.16560543,0.2227545,-0.4922937,FALSE,23,Ganlak Kullanam (30m),Ekonomik,47,Atok Bayak (>44mm),Giriş Seviyesi
Aluminium,Bvlgari,Aluminium,148000,Mid-Range,Erkek,Otomatik,Alaminyum,Other,100m,Water Resistant,Italy,140,Premium Collection,5 Yıl,42 Saat,Beyaz,Kauasuk,Aluminium,148.000₺,103382,1884,514079.38,416000,402732.22,63,-0.7121067,0.4254491,-0.36561948,FALSE,11,Snorkeling (100m),Orta Segment,40,Orta (36-40mm),Atok Prestijli
DolceVita,Longines,Elegance,117000,Mid-Range,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,2 Yıl,,Gamaay,Paslanmaz Atelik,DolceVita,117.000₺,L5.512.5.71.7,1832,134676.78,131000,52081.965,267,-0.13125336,0.3275449,-0.42171806,FALSE,69,Ganlak Kullanam (30m),Orta Segment,23.3,Kaaak (<36mm),Orta Prestij
Aquis Date,Oris,Aquis,143000,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Unknown,,Premium Collection,2 Yıl,38 Saat,Siyah,Paslanmaz Atelik,Aquis Date,143.000₺,01 733 7787 4154-07 8 22 04PEB,,177222.78,143000,68706.82,79,-0.19310601,0.41437125,-0.37466764,FALSE,36,Professyonel Dalaay (300m+),Orta Segment,42,Bayak (40-44mm),Orta Prestij
Carrera Day-Date,Tag Heuer,Carrera,213200,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Luxury Collection,2 Yıl,80 Saat,Karmaza,Paslanmaz Atelik,Carrera Day-Date,213.200₺,WDA2113.BA0043,,219025.56,179400,138288.27,133,-0.026597643,0.5535928,-0.24763153,FALSE,35,Snorkeling (100m),Premium,41,Bayak (40-44mm),Prestijli
Radiomir Bronzo,Panerai,Radiomir,909300,Ultra-Luxury,Erkek,Elle Kurmala,Bronz,Other,100m,Water Resistant,Italy,164,Luxury Collection,8 Yıl,72 Saat,Yeayil,Dana Derisi,Radiomir Bronzo,909.300₺,PAM00760,1860,649664.06,473800,466149.7,89,0.3996465,0.92275447,1.0120527,FALSE,14,Snorkeling (100m),Ultra Laks,47,Atok Bayak (>44mm),Atok Prestijli
Carrera Day-Date,Tag Heuer,Carrera,223600,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Luxury Collection,2 Yıl,80 Saat,Siyah,Paslanmaz Atelik,Carrera Day-Date,223.600₺,WDA2111.BA0043,,219025.56,179400,138288.27,133,0.020885399,0.56886226,-0.22881138,FALSE,35,Snorkeling (100m),Premium,41,Bayak (40-44mm),Prestijli
T-Race Chronograph,Tissot,T-Sport Collection,30280,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Siyah,Silikon,T-Race Chronograph,30.280₺,T141.417.37.051.01,1853,30113.854,26090,13456.789,288,0.005517256,0.10269461,-0.5786493,FALSE,97,Snorkeling (100m),Ekonomik,45,Atok Bayak (>44mm),Giriş Seviyesi
PRC 100 Solar,Tissot,T-Sport Collection,27590,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,3 Yıl,,Siyah,Paslanmaz Atelik,PRC 100 Solar,27.590₺,T151.422.33.051.00,1853,30113.854,26090,13456.789,288,-0.0838104,0.093712576,-0.5835172,FALSE,97,Snorkeling (100m),Ekonomik,39,Orta (36-40mm),Giriş Seviyesi
Riviera,Baume & Mercier,Riviera,340000,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,42 Saat,Sara,Paslanmaz Atelik,Riviera,340.000₺,10828,1830,126401.04,120200,54582.965,96,1.6898513,0.6964072,-0.018170312,FALSE,45,Snorkeling (100m),Premium,41,Bayak (40-44mm),Orta Prestij
Luminor Marina,Panerai,Luminor,425900,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,500m,Diving,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Beyaz,Krokodil,Luminor Marina,425.900₺,PAM03314,1860,649664.06,473800,466149.7,89,-0.3444304,0.7583832,0.137277,FALSE,37,Professyonel Dalaay (300m+),Laks,44,Bayak (40-44mm),Atok Prestijli
Captain Cook Over-Pole,Rado,Captain Cook,150200,Mid-Range,Erkek,Elle Kurmala,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Premium Collection,5 Yıl,80 Saat,Gamaay,Paslanmaz Atelik,Captain Cook Over-Pole,150.200₺,R32193018,,133908.42,126200,57445.586,95,0.121662095,0.43173653,-0.3616383,FALSE,23,Snorkeling (100m),Orta Segment,39,Orta (36-40mm),Orta Prestij
Seastar 1000,Tissot,T-Sport Collection,25190,Budget,Women,Pilli,Atelik Altn,Gold,300m,Diving,Switzerland,171,Entry Collection,2 Yıl,,Sedef,Paslanmaz Atelik,Seastar 1000,25.190₺,T120.210.22.111.00,1853,30113.854,26090,13456.789,288,-0.16350794,0.08173653,-0.5878603,FALSE,97,Professyonel Dalaay (300m+),Ekonomik,36,Orta (36-40mm),Giriş Seviyesi
Octo Finissimo,Bvlgari,Octo,730000,Ultra-Luxury,Erkek,Otomatik,Titanyum,Titanium,30m,Splash Resistant,Italy,140,Ultra-Luxury Collection,5 Yıl,60 Saat,Gri,Titanyum,Octo Finissimo,730.000₺,102713,1884,514079.38,416000,402732.22,63,0.4200142,0.8928144,0.68758583,FALSE,16,Ganlak Kullanam (30m),Laks,40,Orta (36-40mm),Atok Prestijli
